mes,Animales vivos,Carnes y despojos comestibles,"Pescados y crust�ceos, moluscos e invertebrados acu�ticos","Leche y productos l�cteos, huevos, miel",Dem�s productos de origen animal,Plantas vivas y productos de la floricultura,"Legumbres y hortalizas, plantas, ra�ces y tub�rculos","Frutos comestibles, cortezas de agrios o melones","Caf�, t�, yerba mate y especias",Cereales,"Productos de moliner�a, malta, almid�n y f�cula","Semillas y frutos oleaginosos, forrajes","Gomas, resinas, y dem�s jugos y extractos vegetales",Materias trenzables y dem�s productos vegetales
January-08,5656.65,48380.42,12821.13,5556.56,9201.3,68819.52,7125.87,59072.27,202093.4,456.64,2470.71,1147.73,39.77,222.71
February-08,2044.74,56100.34,22414.62,6326.46,17557.81,107475.79,9067.09,47397.11,205438.26,1027.53,2081.63,723.26,54.44,24.98
March-08,2311.99,41100.67,16944.53,5522.39,8903.74,87697.97,7205.7,44813.22,190894.22,312.57,2558.63,678.27,27.22,367.76
April-08,775.48,37768.71,20791.84,8032.72,11474.64,134873.7,8778.51,74029.81,169210.68,754.93,3123.6,2602.48,32.04,158.44
May-08,843.08,40385.44,15910.93,9581.53,10024.38,109802.23,6267.36,69682.43,151000.2,589.12,2147.16,1526.52,62.06,182.52
June-08,1648.8,55020.88,17055.78,11322.7,17364.49,70433.52,7998.18,79590.57,163499.73,149.21,2287.18,800.85,263,158.81
July-08,2117.68,52553.87,23751.3,13542.64,15528.93,117938.61,9534.92,62789.62,175861.07,224.53,1695.85,892.53,1170.72,301.42
August-08,2541.57,58193.58,13419.57,13006.32,10718.67,129566.17,10100.3,64844.84,119139.55,471.4,2273.35,2235.83,30.36,74.04
September-08,3199.49,73121.54,13273.42,11931.77,5604.94,79790.96,3974.28,59188.92,131771.11,482.36,1312.76,602.5,10.03,29.48
October-08,1808.97,83138.34,17499.09,9426.32,1060.14,77067.44,11215.23,25513.93,131618.72,77.95,1666.4,1045.55,20.68,164.77
November-08,1265.82,105824.48,11396.25,7954.16,1040.46,55425.88,8046.33,29446.13,102263.84,1357.31,2073.32,965.43,40.51,0.09
December-08,2218.4,103753.7,17566.25,10321.73,336.15,63280.71,7520.71,39176.74,151809.06,805.92,2073.46,860.54,14.71,86.31
January-09,3052.71,89696.4,16899.9,3354.7,511.44,38645.02,8071.79,57535.14,179873.86,559.06,1991.5,441.72,4.61,34.9
February-09,3544.15,89270.86,11642.64,2962.42,491.23,52946.85,6706.42,81971.39,157680.27,1213.45,2375.03,1073.37,60.77,7.13
March-09,2001.13,110070.76,14532.91,5184.98,9854.87,87889.77,4724.2,88142.17,148432.8,633.95,2253.37,885.82,33.37,2.57
