months,Frutos comestibles,"Semillas y frutos oleaginosos, forrajes","Bebidas, l�quidos alcoh�licos y vinagre",Az�cares y art�culos confiter�a,"Caf�, t�, yerba mate y especias","Legumbres y hortalizas, plantas, ra�ces y tub�rculos"
2007-01,7107,10831,9904,14541,2387,7472
2007-02,7268,7582,9266,5287,2509,4861
2007-03,12828,16391,5826,12413,2079,5480
2007-04,9580,8285,10462,5699,1424,5045
2007-05,9684,14553,8066,5416,1563,6611
2007-06,10539,14537,10384,11353,2161,6572
2007-07,8565,15750,10875,9314,1249,7935
2007-08,12032,20767,8889,13715,1968,8180
2007-09,10663,8417,17535,5294,2429,8161
2007-10,12145,23460,17077,6895,2492,10138
2007-11,11757,17585,13907,6946,1934,10043
2007-12,6819,9686,9057,3641,2459,5580
2008-01,6005,16626,7465,4649,847,6520
2008-02,9320,24017,5684,5999,1880,5892
2008-03,12264,10179,7039,6008,1310,5544
2008-04,12811,12085,7479,7428,1245,8624
2008-05,12740,15178,8014,8366,2444,9420
2008-06,6996,20887,9412,10147,1887,9521
2008-07,15934,6969,11035,8545,2497,6422
2008-08,12151,17330,6012,7146,3421,6631
2008-09,12952,11655,11606,9562,5364,11865
2008-10,13423,13145,22348,13537,5021,11285
2008-11,6520,13748,12803,15800,3393,10571
2008-12,11412,12032,11591,11706,4663,12557
2009-01,7933,8871,6179,9413,3024,7984
2009-02,8536,4716,5871,3697,4616,6778
2009-03,15827,19530,7725,5432,5382,5734
2009-04,8587,11893,7490,3965,5021,8631
2009-05,8891,18408,7909,4749,7736,7566
2009-06,10485,20667,8973,3875,10868,10133
2009-07,10865,26505,9824,5380,15088,13107
2009-08,12687,15148,10169,7898,12774,9160
2009-09,13855,16785,14443,12584,9645,7600
2009-10,13003,9136,15696,11227,7136,7699
2009-11,12679,26479,16580,11127,5876,7422
2009-12,13698,12191,12772,12210,6917,12693
2010-01,6822,16131,10048,9141,6869,11458
2010-02,12351,11718,9423,7056,8893,8870
2010-03,17521,18002,11501,6124,7603,16577
2010-04,16972,19685,11761,11729,5039,15661
2010-05,13079,15352,10293,5704,2413,9505
2010-06,12629,14364,10040,10960,5241,7782
2010-07,14432,22497,18598,13761,6076,11326
2010-08,15534,11146,13695,20087,12685,12826
2010-09,15250,18867,18649,18159,13553,14108
2010-10,16692,8632,16481,13816,6701,13580
2010-11,14193,29465,15138,11568,7250,16192
2010-12,13250,23311,12004,16889,8955,17417
2011-01,10157,25434,10753,14155,15580,14060
2011-02,13544,13916,11484,7644,13629,11614
2011-03,18178,18003,15562,8582,12519,16656
2011-04,19647,11256,9755,9942,5770,14034
2011-05,18214,19556,13895,17056,10446,18969
2011-06,15179,22136,11424,9645,13096,14586
2011-07,16666,14307,12074,13655,21586,15069
2011-08,19570,22929,15101,15020,17867,13180
2011-09,23441,23125,24019,13718,21968,11324
2011-10,15348,20403,21226,26826,15833,16075
2011-11,20725,12274,22589,13141,18923,14038
2011-12,21986,16754,14458,25808,21558,22229
2012-01,14916,16779,8711,10945,14312,24870
2012-02,18400,22018,12774,22627,22207,14422
2012-03,22854,18142,16037,53959,19729,11169
2012-04,23057,6464,18999,13185,15277,10270
2012-05,21261,33387,16345,18272,16703,15059
2012-06,18985,27357,19376,17473,16932,13461
2012-07,20152,13432,17394,18382,12309,17687
2012-08,26575,21259,28053,24711,17700,18243
2012-09,27799,26187,21812,17779,14824,9991
2012-10,20986,23083,25423,17509,20779,15874
2012-11,21597,26287,27896,22813,12578,17613
2012-12,24393,16402,30653,16710,11917,16871
2013-01,17186,31939,25963,23228,8816,16281
2013-02,21811,9700,20573,19169,8249,13648
2013-03,23399,16195,18819,28481,7969,9605
2013-04,18868,25802,25038,20127,9511,13160
2013-05,25922,16679,27883,24427,6493,13327
2013-06,17648,20610,16496,16868,4158,12724
2013-07,22297,28248,23706,16190,3541,15435
2013-08,23494,27320,23140,8733,2657,10815
2013-09,21180,24211,30508,13218,4217,10986
2013-10,24264,33219,28968,17062,4663,11841
2013-11,23592,19430,28194,10926,4491,11866
2013-12,22186,17865,20758,11173,4546,11520
2014-01,17842,20029,19363,12306,3390,9301
2014-02,23581,14600,15907,8254,3920,8586
2014-03,26309,22092,22765,10265,5693,10917
2014-04,24606,38477,18580,13933,4097,9864
2014-05,19070,27183,21029,9520,3578,14856
2014-06,19001,25874,29728,7653,3471,14928
2014-07,29339,32757,19866,8942,5583,12516
2014-08,23233,14680,21661,8594,7908,11225
2014-09,25651,40245,32725,10225,5169,9723
